name,id
"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",7902
Acipenser gueldenstaedti,7902
Acipenser guldenstadti,7902
Caspian sturgeon,7902
osietra,7902
Russian sturgeon,7902
"Acipenser gueldenstaedtii gueldenstaedtii Brandt & Ratzeberg, 1833",152494
Acipenser gueldenstaedtii gueldenstaedtii,152494
Acipenser ruthenus,7906
"Acipenser ruthenus Linnaeus, 1758",7906
sterlet,7906
Acipenser schrenckii,111304
"Acipenser schrenckii Brandt, 1869",111304
Acipenser shrencki,111304
Amur sturgeon,111304
Acipenser sinensis,61970
"Acipenser sinensis Gray, 1835",61970
Chinese sturgeon,61970
Acipenser sturio,61674
"Acipenser sturio (Linnaeus, 1758)",61674
"Acipenser sturio Linnaeus, 1758",61674
sturgeon,61674
Acipenser transmontanus,7904
"Acipenser transmontanus Richardson, 1836",7904
white sturgeon,7904
Acis autumnalis,59043
Acis autumnalis (L.) Sweet,59043
autumn snowflake,59043
Leucojum autumnale L.,59043
Leucojum autumnale,59043
"Acis autumnalis var. oporantha (Jord. & Fourr.) Lledo, A.P.Davis & M.B.Crespo",197776
Acis autumnalis var. oporantha,197776
Acis oporantha Jord. & Fourr.,197776
Acis oporantha,197776
Leucojum autumnale var. oporanthum (Jord. & Fourr.) Maire,197776
Leucojum autumnale var. oporanthum,197776
Acis fabrei,197678
Acis fabrei (Quezel & Girerd) Lledo,197678
Leucojum fabrei Quezel & Girerd,197678
Leucojum fabrei,197678
Acis longifolia,197679
Acis longifolia J.Gay ex M.Roem.,197679
Leucojum longifolium (J.Gay ex M.Roem.) Gren.,197679
Leucojum longifolium,197679
Acis nicaeensis,197680
"Acis nicaeensis (Ardoino) Lledo, A.P.Davis & M.B.Crespo",197680
Leucojum nicaeense Ardoino,197680
Leucojum nicaeense,197680
Acis rosea,197681
Acis rosea (F.Martin bis) Sweet,197681
Leucojum roseum F.Martin bis,197681
Leucojum roseum,197681
Acis tingitana,197682
"Acis tingitana (Baker) Lledo, A.P.Davis & M.B.Crespo",197682
Leucojum tingitanum Baker,197682
Leucojum tingitanum,197682
Acis valentina,197684
"Acis valentina (Pau) Lledo, A.P.Davis & M.B.Crespo",197684
Leucojum valentinum Pau,197684
Leucojum valentinum,197684
Acomys cahirinus,10068
Acomys airensis,10068
Acomys albigena,10068
"Acomys cahirinus (E. Geoffrey, 1803)",10068
Cairo spiny mouse,10068
Egyptian spiny mouse,10068
Acorus americanus,263995
Acorus americanus (Raf.) Raf.,263995
Acorus calamus var. americanus (Raf.) H.D.Wulff.,263995
Acorus calamus var. americanus,263995
sweetflag,263995
Acremonium cellulolyticus Y-94,87693
Acremonium cellulolyticus CF-2612,87693
Talaromyces cellulolyticus CF-2612,87693
Acremonium chrysogenum,5044
ATCC 14615,5044
CBS 144.62,5044
CECT 2718,5044
Cephalosporium acremonium,5044
HACC 113,5044
IFO 30055,5044
IMI 091579,5044
MUCL 9718,5044
Acremonium chrysogenum ATCC 11550,857340
Acremonium sp. F11177,443225
Acremonium sp. HI-25,159120
Acremonium sp. No.413,116607
Acremonium strictum,5046
Acremonium strictum W. Gams 1971,5046
ATCC 34717,5046
CBS 346.70,5046
DSM 3567,5046
IAM 14663,5046
Sarocladium strictum,5046
Sarocladium strictum (W. Gams) Summerbell 2011,5046
Sordariomycetes sp. HDN13-358,5046
specimen-voucher:VKM:F:2856,5046
VKM F-2856,5046
VTT D-76043,5046
Acremonium strictum genogroup IV,208996
Sarocladium strictum genogroup IV,208996
Acrocephalus arundinaceus,39621
great reed warbler,39621
Acrocephalus arundinaceus arundinaceus,659163
Acrolepiopsis assectella,57686
Acrolepia assectella,57686
"Acrolepiopsis assectella (Zeller, 1839)",57686
leek moth,57686
Acrophialophora nainiana,389488
"Acrophialophora nainiana Edward, 1959",389488
ATCC:22555,389488
CBS 100.60,389488
Acropora aculeus,287157
"Madrepora aculeus Dana, 1846",287157
Madrepora aculeus,287157
Acropora donei,34495
"Acropora donei Veron & Wallace, 1984",34495
Acropora formosa,126732
"Acropora formosa (Dana, 1846)",126732
Acropora hyacinthus,55974
"Acropora hyacinthus (Dana, 1846)",55974
Acropora surculosa,55974
"Madrepora hyacinthus Dana, 1846",55974
Madrepora hyacinthus,55974
Acropora millepora,45264
"Acropora convexa (Dana, 1846)",45264
Acropora convexa,45264
"Acropora millepora (Ehrenberg, 1834)",45264
"Acropora millepora Ehrenberg, 1834",45264
Acropora singularis,45264
"Madrepora latistella (Ehrenberg, 1834)",45264
Acropora sp. #30,258444
Acropora tenuis,70783
"Madrepora tenuis Dana, 1846",70783
Madrepora tenuis,70783
purple tipped acropora,70783
Acrosiphonia duriuscula,138170
Acrosiphonia duriuscula (Ruprecht) Yendo,138170
Acrosiphonia duriuscula var. tenuis,138171
Actias selene,37776
"Actias selene (Hubner, 1807)",37776
Indian moon moth,37776
"Actias selene taprobanis Paukstadt & Paukstadt, 1999",1108081
Actias selene taprobanis,1108081
Actineria villosa,227975
"Actineria villosa Quoy & Gaimard in de Blainville, 1830",227975
Actinia equina,6106
"Actinia equina (Linnaeus, 1758)",6106
"Priapus equinus Linnaeus, 1758",6106
Priapus equinus,6106
Actinia sp. UST-01,157108
Actinidia arguta,64478
Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,64478
Actinidia arguta var. hypoleuca (Nakai) Kitam.,1837144
Actinidia arguta var. hypoleuca,1837144
Actinidia hypoleuca Nakai,1837144
Actinidia hypoleuca,1837144
Actinidia chinensis,3625
Actinidia chinensis Planch.,3625
"Actinidia chinensis fo. jinggangshanensis C.F.Liang, 1982",2485310
Actinidia chinensis fo. jinggangshanensis,2485310
"Actinidia chinensis var. jinggangshanensis (C.F.Liang) C.F.Liang & A.R.Ferguson, 1985",2485310
Actinidia chinensis var. jinggangshanensis,2485310
Actinidia deliciosa,3627
Actinidia chinensis var. deliciosa,3627
Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson,3627
Chinese gooseberry,3627
kiwifruit,3627
Actinidia deliciosa var. deliciosa,284548
Actinidia eriantha,165200
Actinidia eriantha Benth.,165200
Actinidia eriantha f. alba C.F.Gan,165781
Actinidia eriantha f. alba,165781
Actinidia eriantha var. alba,165781
Acyrthosiphon pisum,7029
"Acyrthosiphon pisum (Harris, 1776)",7029
Acyrthosiphum pisum,7029
pea aphid,7029
Adelostemma gracillimum,335289
Adelostemma gracillimum (Wall. ex Wight) Hook.f.,335289
Cynanchum gracillimum,335289
Cynanchum gracillimum Wall. ex Wight,335289
Adiantum capillus-veneris,13818
Adiantum capillus Sw.,13818
Adiantum capillus,13818
Adiantum capillus-veneris L.,13818
maidenhair fern,13818
Adiantum capillus-veneris var. dissectum (M.Martens & Galeotti) T.Moore,1073773
Adiantum capillus-veneris var. dissectum,1073773
Adineta ricciae,249248
Adineta vaga,104782
"Adineta vaga (Davis, 1873)",104782
Adonis aestivalis,113211
Adonis aestivalis L.,113211
summer pheasant's eye,113211
Adonis aestivalis var. palaestina (Boiss.) Zohary,151078
Adonis aestivalis var. palaestina,151078
Adonis palaestina Boiss.,151078
Adonis palaestina,151078
Adoxophyes sp. KSB-2001,165538
smaller tea tortrix,165538
Aedes aegypti,7159
"Aedes aegypti (Linnaeus, 1762)",7159
Aedes (Stegomyia) aegypti,7159
Stegomyia aegypti,7159
yellow fever mosquito,7159
Aedes aegypti formosus,1769044
"Aedes aegypti formosus (Walker, 1848)",1769044
Aedes albopictus,7160
"Aedes albopictus (Skuse, 1894)",7160
Asian tiger mosquito,7160
forest day mosquito,7160
Stegomyia albopicta,7160
Aedes polynesiensis,188700
Aedes pseudoscutellaris,316597
"Aedes pseudoscutellaris (Theobald, 1910)",316597
Aegiceras corniculatum,59970
Aegiceras corniculata,59970
Aegiceras corniculatum (L.) Blanco,59970
Aegilops bicornis,4483
"Aegilops bicornis (Forssk.) Jaub. & Spach, 1851",4483
"Triticum bicorne Forssk., 1775",4483
Triticum bicorne,4483
Aegilops biuncialis,130455
Aegilops biuncialis Vis.,130455
Aegilops lorentii Hochst.,130455
Aegilops lorentii,130455
Aegilops columnaris,4493
"Aegilops columnaris Zhuk., 1928",4493
Aegilops comosa,4485
"Aegilops comosa Sm., 1806",4485
"Comopyrum comosum (Sibth. & Sm.) A.Love, 1982",4485
Comopyrum comosum,4485
"Aegilops comosa var. subventricosa Boiss., 1884",93891
Aegilops comosa var. subventricosa,93891
"Aegilops heldreichii (Boiss.) Holzm. ex Nyman, 1890",93891
Aegilops heldreichii,93891
Aegilops crassa,4481
Aegilops crassa Boiss.,4481
Aegilops crassa var. glumiaristata Eig,1080386
Aegilops crassa var. glumiaristata,1080386
Aegilops cylindrica,130456
Aegilops cylindrica Host,130456
Aegilops geniculata,130459
Aegilops geniculata Roth,130459
"Aegilops ovata L., 1753",130459
Aegilops ovata,130459
Aegilops juvenalis,130457
Aegilops juvenalis (Thell.) Eig,130457
Aegilops kotschyi,130458
Aegilops kotschyi Boiss.,130458
Aegilops longissima,4486
Aegilops longissima Schweinf. & Muschl.,4486
"Triticum longissimum (Schweinf. & Muschl.) Bowden, 1959",4486
Triticum longissimum,4486
Aegilops longissima subsp. TA 1921,296027
Aegilops longissima subsp. longissima,296026
Aegilops markgrafii,4494
Aegilops caudata L.,4494
Aegilops caudata,4494
Aegilops markgrafii (Greuter) K.Hammer,4494
Aegilops neglecta,130460
Aegilops neglecta Req. ex Bertol.,130460
Aegilops triaristata,130460
Aegilops triaristata Willd.,130460
Aegilops peregrina,130461
Aegilops peregrina (Hack.) Eig,130461
"Aegilops variabilis Eig, nom. illeg.",130461
Aegilops variabilis,130461
Aegilops peregrina var. peregrina,1080388
Aegilops searsii,4487
Aegilops searsii Feldman & Kislev ex K.Hammer,4487
Aegilops sharonensis,58530
"Aegilops sharonensis Eig, 1928",58530
Aegilops speltoides,4573
Aegilops speltoides Tausch,4573
Sitopsis speltoides,4573
"Sitopsis speltoides (Tausch) A.Love, 1984",4573
Triticum speltoides,4573
"Triticum speltoides (Tausch) Gren., 1857",4573
Aegilops speltoides var. speltoides,1525191
Aegilops speltoides subsp. speltoides,58531
Aegilops speltoides var. auchira,58531
goat grass,58531
Triticum speltoides var. auchira,58531
Triticum speltoides var. speltoides,58531
Aegilops speltoides var. ligustica,58532
Aegilops ligustica,58532
Aegilops speltoides subsp. ligustica,58532
Aegilops speltoides var. ligustica (Savign.) Fiori,58532
Triticum speltoides var. ligustica,58532
Aegilops tauschii,37682
Aegilops squarrosa subsp. squarrosa,37682
Aegilops squarrosa,37682
Aegilops tauschii Coss.,37682
Patropyrum tauschii (Coss.) A.Love,37682
Patropyrum tauschii subsp. tauschii,37682
Patropyrum tauschii,37682
Triticum aegilops P.Beauv. ex Roem. & Schult.,37682
Triticum aegilops,37682
Triticum tauschii (Coss.) Schmalh.,37682
Triticum tauschii,37682
Aegilops tauschii var. anathera (Eig) K.Hammer,296028
Aegilops tauschii var. anathera,296028
Aegilops tauschii subsp. strangulata,200361
Aegilops tauschii subsp. strangulata (Eig) Tzvelev,200361
Aegilops tauschii subsp. tauschii,169297
Aegilops tauschii var. meyeri,70077
Aegilops squarrosa subsp. meyeri (Griseb.) Zhuk.,70077
Aegilops squarrosa subsp. meyeri,70077
Aegilops tauschii var. meyeri (Griseb.) Tzvelev,70077
Aegilops tauschii var. meyerii,70077
Aegilops tauschii x Triticum turgidum,285950
synthetic wheat,285950
Aegilops triuncialis,39391
"Aegilops triuncialis L., 1753",39391
"Triticum triunciale (L.) Raspail, 1825",39391
Triticum triunciale,39391
Aegilops persica Boiss.,1424572
Aegilops persica,1424572
Aegilops triuncialis var. persica (Boiss.) Eig,1424572
Aegilops triuncialis var. persica,1424572
Triticum persicum (Boiss.) Aitch. & Hemsl.,1424572
Triticum persicum,1424572
Aegilops umbellulata,4491
Aegilops umbellulata Zhuk.,4491
Aegilops uniaristata,4492
Aegilops uniaristata Vis.,4492
Aegilops vavilovii,130462
Aegilops vavilovii (Zhuk.) Chennav.,130462
Aegilops ventricosa,116981
Aegilops ventricosa Tausch,116981
Triticum ventricosum,116981
"Triticum ventricosum (Tausch) Ces., Pass. & Gibelli, 1869",116981
Aeluropus littoralis,110874
Aeluropus littoralis (Gouan) Parl.,110874
Aepyceros melampus,9897
impala,9897
Aepyceros melampus petersi,141463
Aepyprymnus rufescens,38598
rufous bettong,38598
rufous rat-kangaroo,38598
Aequorea coerulescens,210840
belt jellyfish,210840
"Mesonema coerulescens Brandt, 1835",210840
Mesonema coerulescens,210840
Aequorea macrodactyla,147615
"Mesonema macrodactyla Brandt, 1835",147615
Mesonema macrodactyla,147615
Aequorea parva,148610
"Aequorea parva Browne, 1905",148610
Aequorea victoria,6100
"Aequorea victoria (Murbach & Shearer, 1902)",6100
"Mesonema victoria Murbach & Shearer, 1902",6100
Mesonema victoria,6100
Aethionema grandiflorum,72657
Aethionema grandiflorum Boiss. & Hohen.,72657
Aethionema grandiflorum var. sintenisii (Hausskn. & Bornm.) Govaerts,1907815
Aethionema grandiflorum var. sintenisii,1907815
Aethionema sintenisii Hausskn. & Bornm.,1907815
Aethionema sintenisii,1907815
Aethusa cynapium,40954
Aethusa cynapium L.,40954
fool's parsley,40954
Aethusa cynapium subsp. cynapium,1640867
Agalychnis annae,75990
blue-sided leaf frog,75990
orange-eyed tree frog,75990
"Phyllomedusa annae Duellman, 1963",75990
Phyllomedusa annae,75990
Agalychnis callidryas,197464
"Agalychnis callidryas Cope, 1862",197464
akame-ama-gaeru,197464
gaudy leaf frog,197464
"Hyla callidryas Cope, 1862",197464
Hyla callidryas,197464
Phyllomedusa callidryas,197464
red-eyed leaf frog,197464
red-eyed treefrog,197464
Agama atra,52208
"Agama atra Daudin, 1802",52208
BMNH 1946.8.27.94-96,52208
Southern rock agama,52208
Agapanthus praecox,186128
Agapanthus praecox Willd.,186128
Agapanthus orientalis F.M.Leight.,547170
Agapanthus orientalis,547170
Agapanthus praecox subsp. orientalis (F.M.Leight.) F.M.Leight.,547170
Agapanthus praecox subsp. orientalis,547170
Agaricia agaricites,89882
"Agaricia agaricites (Linnaeus, 1758)",89882
"Madrepora agaricites Linnaeus, 1758",89882
Madrepora agaricites,89882
Undaria agaricities,89882
Agaricia fragilis,165097
"Agaricia fragilis Dana, 1848",165097
fragile saucer coral,165097
Agaricus bisporus,5341
"Agaricus bisporus (J.E. Lange) Imbach, 1946",5341
"Agaricus bisporus var. albidus J.E. Lange ex Singer, 1961, nom. inval.",5341
Agaricus bisporus var. albidus,5341
Agaricus brunnescens,5341
button mushroom,5341
common mushroom,5341
cultivated mushroom,5341
Agaricus bisporus var. burnettii JB137-S8,597362
Agaricus blazei,79798
Agastache rugosa,39271
Agastache rugosa (Fisch. & C.A.Mey.) Kuntze,39271
Lophanthus rugosus Fisch. & C.A.Mey.,39271
Lophanthus rugosus,39271
Agave americana,39510
Agave americana L.,39510
Agave americana var. marginata,39510
Agave americana var. marginata Trel.,39510
century plant,39510
Agave tequilana,386106
Agave tequilana F.A.C.Weber,386106
Agelaius phoeniceus,39638
"Agelaius phoeniceus (Linnaeus, 1766)",39638
Agelaius phoniceus,39638
Oriolus phoeniceus,39638
red-winged blackbird,39638
Agelaius phoeniceus phoeniceus,555855
Agelena orientalis,293813
"Agelena orientalis C. L. Koch, 1837",293813
Agelenopsis aperta,6908
Ageratina adenophora,176616
"Ageratina adenophora (Spreng.) R.M.King & H.Rob., 1970",176616
Eupatorium adenophora,176616
"Eupatorium adenophorum Spreng., 1818",176616
Eupatorium adenophorum,176616
"Eupatorium glandulosum Kunth, 1818",176616
Eupatorium glandulosum,176616
Agkistrodon contortrix,8720
Boa contortrix Linnaeus 1766,8720
Boa contortrix,8720
Copperhead,8720
Agkistrodon contortrix pictigaster,336210
Agkistrodon contortrix contortrix,8713
southern copperhead,8713
Agkistrodon contortrix laticinctus,37195
broad-banded copperhead,37195
Agkistrodon piscivorus piscivorus,8716
Eastern cottonmouth,8716
Aglaothamnion neglectum,2765
Agriades glandon,374600
"Agriades glandon (Prunner, 1798)",374600
Glandon blue,374600
Papilio glandon,374600
Plebejus glandon,374600
poco brillo,374600
Agriades glandon glandon,689474
Agriotes lineatus,292458
Agrius convolvuli,55055
"Agrius convolvuli (Linnaeus, 1758)",55055
convolvulus hawk-moth,55055
Herse convolvuli,55055
morning glory sphinx moth,55055
sweetpotato hornworm,55055
Agrocybe aegerita,5400
Agrocybe chaxingu,84603
Agrocybe pediades,84607
Agrocybe semiorbicularis,84607
Agrocybe pediades f. bispora A.N. Petrov 1983,1147098
Agrocybe pediades f. bispora,1147098
Agrocybe pediades var. bispora,1147098
Agropyron cristatum,4593
"Agropyron cristatum (L.) Gaertn., 1770",4593
"Bromus cristatus L., 1753",4593
crested wheatgrass,4593
Agropyron cristatum subsp. pectinatum var. pectinatum,1642920
Agropyron cristatum var. pectinatum,1642920
Agrostis alba,29659
Agrostis alba L.,29659
Poa nemoralis L.,29659
Poa nemoralis,29659
Agrostis stolonifera,63632
Agrostis stolonifera L.,63632
creeping bent grass,63632
"Agrostis palustris Huds., 1762",62759
Agrostis palustris,62759
"Agrostis stolonifera var. palustris (Huds.) Farw., 1919",62759
Agrostis stolonifera var. palustris,62759
Agrotis ipsilon,56364
"Agrotis ipsilon (Hufnagel, 1766)",56364
black cutworm moth,56364
dark sword grass moth,56364
greasy cutworm moth,56364
Ailuropoda melanoleuca,9646
"Ailuropoda melanoleuca (David, 1869)",9646
giant panda,9646
Ailuropoda melanoleuca qinlingensis,944575
"Ailuropoda melanoleuca qinlingensis Wan, Wu and Fang, 2005",944575
Ailurus fulgens,9649
"Ailurus fulgens Cuvier, 1825",9649
lesser panda,9649
red panda,9649
Ailurus fulgens styani,424585
Aipysurus eydouxii,274825
"Aipysurus eydouxii (Gray, 1849)",274825
Aipysurus eydouxi,274825
BMNH 1946.1.6.86,274825
spine-tailed seasnake,274825
Tomogaster eydouxii,274825
Aipysurus laevis,8678
"Aipysurus laevis Lacepede, 1804",8678
olive-brown sea snake,8678
WAM R22384,8678
Aix sp.,8834
Ajellomyces capsulatus,5037
"Ajellomyces capsulatus (Kwon-Chung) McGinnis & Katz, 1979",5037
ATCC 22635,5037
CBS 136.72 [[Emmonsiella capsulata]],5037
"Cryptococcus capsulatus (Darling) Castell. & Chalm., 1919",5037
Cryptococcus capsulatus,5037
"Emmonsiella capsulata Kwon-Chung, 1972",5037
Emmonsiella capsulata,5037
"Histoplasma capsulatum Darling, 1906",5037
Histoplasma capsulatum,5037
Histoplasma capsulatum var. capsulatum Tmu,1226784
Ajellomyces dermatitidis,5039
ATCC 18187 [[Ajellomyces dermatitidis]],5039
Blastomyces dermatitidis,5039
Blastomycoides dermatitidis,5039
CBS 673.68 [[Ajellomyces dermatitidis]],5039
UAMH 3538 [[Ajellomyces dermatitidis]],5039
Ajellomyces dermatitidis ATCC18187,946394
Ajellomyces dermatitidis ATCC 18187,946394
Blastomyces dermatitidis ATCC18187,946394
Blastomyces dermatitidis ATCC 18187,946394
Ajuga reptans,38596
Ajuga reptans L.,38596
bugle,38596
Akebia trifoliata,155132
Akebia trifoliata (Thunb.) Koidz.,155132
Akebia trifoliata subsp. trifoliata,714441
Alces alces alces,9853
european elk,9853
Alces alces cameloides,162953
Alces alces gigas,341674
Alaskan moose,341674
Alces alces shirasi,225176
Alces alces shirasi (Nelson 1914),225176
Alcolapia grahami,87886
Alcolapia alcalicus grahami,87886
"Alcolapia grahami (Boulenger, 1912)",87886
Oreochromis alcalicus grahami,87886
Oreochromis grahami,87886
Alectoris rufa,9079
red-legged partridge,9079
Aleuria aurantia,5188
"Aleuria aurantia (Pers.) Fuckel, 1870",5188
orange peel mushroom,5188
"Peziza aurantia Pers., 1800",5188
Aleuroglyphus ovatus,212130
"Aleuroglyphus ovatus (Troupeau, 1879)",212130
brown legged grain mite,212130
Alexandrium affine,39453
Alexandrium affine (H.Inoue & Y.Fukuyo) Balech 1995,39453
Protogonyaulax affinis H.Inoue & Y.Fukuyo 1985,39453
Protogonyaulax affinis,39453
Alexandrium catenella,2925
Alexandrium fundyense,2932
Alexandrium tamarense,2926
Alexandrium tamarense (Lebour) Balech 1995,2926
Gonyaulax tamarensis Lebour 1925,2926
Gonyaulax tamarensis,2926
Alexandrium tamarense SPE10-03,1203003
Allacma fusca,39272
Allenopithecus nigroviridis,54135
Allen's swamp monkey,54135
Alliaria petiolata,126270
Alliaria officinalis Andrz. ex M.Bieb.,126270
Alliaria officinalis,126270
Alliaria petiolata (M.Bieb.) Cavara & Grande,126270
garlic mustard,126270
Alligator mississippiensis,8496
American alligator,8496
Allium ampeloprasum,4681
"Allium ampeloprasum L., nom. cons.",4681
"Allium porrum L., nom. rej.",4681
Allium porrum,4681
leek,4681
Allium ampeloprasum var. babingtonii (Borrer) Syme,546497
Allium ampeloprasum var. babingtonii,546497
Allium ampeloprasum var. holmense,332485
Allium ampeloprasum var. holmense Asch. & Graebn.,332485
Allium cepa,4679
Allium cepa L.,4679
onion,4679
Allium cepa var. aggregatum G.Don,28911
Allium cepa var. aggregatum,28911
Allium cepa var. ascalonicum,28911
shallot,28911
Allium chinense,130426
Allium chinense G.Don,130426
Allium fistulosum,35875
Allium fistulosum L.,35875
Japanese bunching onion,35875
Welsh onion,35875
Allium macrostemon,91198
Allium macrostemon Bunge,91198
Allium sativum,4682
Allium longicuspis Regel,4682
Allium longicuspis,4682
Allium sativum L.,4682
garlic,4682
Allium sativum f. pekinense (Prokh.) Makino,671527
Allium sativum f. pekinense,671527
