name,id
'Arthromyces ramosus',5451
Agaricales sp. 'Arthromyces ramosus',5451
'Chlorella' ellipsoidea,3072
CCAP 211/1A,3072
Chlorella ellipsoidea sensu Puncocharova,3072
Chlorella ellipsoidea,3072
"Chlorella pringsheimii Shihira & Krauss, 1965",3072
Chlorella pringsheimii,3072
Pseudochlorella pringsheimii,3072
"Pseudochlorella pringsheimii (Shihar & Krauss) Darienko et al., 2010",3072
Pseudochlorella sp. CCAP 211/1A,3072
SAG 211-1a [[Chlorella pringsheimii]],3072
'Chlorella' fusca,3073
[Chlorella] fusca,3073
Chlorella fusca,3073
(Populus tomentosa x P. bolleana) x P. tomentosa,418444
(Populus tomentosa x Populus bolleana) x Populus tomentosa,418444
(Populus tomentosa x P. bolleana) x P. tomentosa var. truncata,328805
(Populus tomentosa x Populus bolleana) x Populus tomentosa var. truncata,328805
Abies alba,45372
abete-blanco,45372
Abies alba Mill.,45372
Christmas-tree,45372
Edeltanne,45372
European silver fir,45372
sapin-blanc,45372
silver fir,45372
Abies grandis,46611
"Abies grandis (Douglas ex D.Don) Lindl., 1833",46611
grand fir,46611
lowland fir,46611
lowland white fir,46611
white fir,46611
yellow fir,46611
Abies magnifica,3320
Abies magnifica A.Murray bis,3320
California red fir,3320
red fir,3320
Abies magnifica var. shastensis Lemmon,1535755
Abies magnifica var. shastensis,1535755
Abies shastensis,1535755
Abies x shastensis Lemmon,1535755
Abies x shastensis,1535755
Shasta red fir,1535755
Abrothrix jelskii,241142
Akodon jelskii,241142
Chroeomys jelskii,241142
Jelski's altiplano mouse,241142
Jelski's South American field mouse,241142
Abrothrix jelskii inambarii,1392495
"Abrothrix jelskii inambarii (Thomas, 1901)",1392495
Abrus precatorius,3816
"Abrus cyaneus R.Vig., 1951",3816
Abrus cyaneus,3816
"Abrus precatorius L., 1767",3816
crab's eye,3816
crab's-eye,3816
Indian licorice,3816
rosary pea,3816
Absidia glauca,4829
CBS 101.08,4829
MUCL 10044,4829
NRRL 1328,4829
Absidia glauca var. paradoxa,1006471
Absidia zychae,36079
ATCC 24266,36079
CBS 104.35,36079
Lentamyces zychae,36079
NRRL 2806,36079
Abudefduf saxatilis,50731
"Abudefduf saxatilis (Linnaeus, 1758)",50731
sergeant major,50731
Acacia ampliceps,178750
Acacia ampliceps Maslin,178750
Acacia auriculiformis,205027
Acacia auriculiformis A.Cunn. ex Benth.,205027
Acacia mangium,224085
Acacia mangium Willd.,224085
Acacia mangium x Acacia auriculiformis,54177
Acacia auriculiformis x Acacia mangium,54177
Acalolepta luxuriosa,85306
"Acalolepta luxuriosa (Bates, 1873)",85306
Acalolepta luxuriosa luxuriosa,692961
Acalyptophis peroni,8676
Acalyptophis peronii,8676
"Hydrophis peronii (Dumeril, 1853)",8676
Hydrophis peronii,8676
MNHN 7711,8676
Spiny-headed seasnake,8676
Acanthamoeba castellanii,5755
Acanthamoeba castellanii (Douglas 1930),5755
Acanthamoeba castellani,5755
Acanthamoeba sp. ATCC 30011,5755
Acanthamoeba castellanii Neff strain,1257118
Acanthamoeba castellanii strain Neff,1257118
Acanthamoeba castellanii str. Neff,1257118
Acanthamoeba healyi,65661
Acanthamoeba polyphaga,5757
Acanthaster planci,133434
"Acanthaster planci (Linnaeus, 1758)",133434
crown of thorns starfish,133434
crown-of-thorns starfish,133434
Acanthocheilonema viteae,6277
Dipetalonema viteae,6277
Acanthogobius flavimanus,86203
"Acanthogobius flavimanus (Temminck & Schlegel, 1845)",86203
Gobius flavimanus,86203
"Gobius flavimanus Temminck & Schlegel, 1845",86203
yellowfin goby,86203
Acanthogobius hasta,267130
"Acanthogobius hasta (Temminck & Schlegel, 1845)",267130
Acanthogobius ommaturus,267130
Asian freshwater goby,267130
Gobius hasta,267130
"Gobius hasta Temminck & Schlegel, 1845",267130
"Gobius ommaturus Richardson, 1845",267130
Gobius ommaturus,267130
javeline goby,267130
Synechogobius hasta,267130
Synechogobius hastus,267130
"Synechogobius ommaturus (Richardson, 1845)",267130
Synechogobius ommaturus,267130
Acanthokara kaputensis,62873
Acanthopagrus butcheri,8179
"Acanthopagrus butcheri (Munro, 1949)",8179
Mylio butcheri,8179
southern black bream,8179
Acanthopagrus latus,8177
"Acanthopagrus latus (Houttuyn, 1782)",8177
Sparus latus,8177
yellowfin seabream,8177
Acanthopagrus schlegelii,72011
"Acanthopagrus schlegelii (Bleeker, 1854)",72011
Acanthopagrus schlegeli,72011
black porgy,72011
black sea bream,72011
Mylio macrocephalus,72011
Sparus macrocephalus,72011
"Acanthopagrus schlegelii schlegelii (Bleeker, 1854)",454007
Acanthopagrus schlegelii schlegelii,454007
Acanthoscelides obtectus,200917
"Acanthoscelides obtectus (Say, 1831)",200917
Acanthoscurria gomesiana,115339
Acanthus ebracteatus,241842
Acanthus ebracteatus Vahl,241842
Acer pseudoplatanus,4026
Acer pseudoplatanus L.,4026
sycamore maple,4026
Acer rubrum,45314
Acer rubrum L.,45314
red maple,45314
Acetabularia acetabulum,35845
Acetabularia acetabulum (L.) P.C.Silva,35845
Acetabularia mediterranea,35845
mermaid's wine glass,35845
Acetabularia peniculus,35862
Acetabularia cliftonii,35862
Acetabularia peniculus (R.Brown ex Turner) Solms-Laubach,35862
Acetabularia peniculus var. cliftonii,35862
Polyphysa peniculus (R.Brown ex Turner) C.Agardh,35862
Polyphysa peniculus,35862
Achaea janata,378752
Acanthodelta janata,378752
"Achaea janata (Linnaeus, 1758)",378752
croton caterpillar,378752
Phalaena janata,378752
Achatina fulica,6530
"Achatina fulica (Ferussac, 1821)",6530
giant African snail,6530
Acheta domesticus,6997
house cricket,6997
Achlya ambisexualis,4768
Achlya bisexualis,4766
Achlya bisexuallis,4766
Achlya klebsiana,4767
Aciculosporium take,42363
Aciculosporium take MAFF-241224,1036760
Acinonyx jubatus,32536
cheetah,32536
"Acinonyx jubatus venaticus (Griffith, 1821)",2714992
Acinonyx jubatus venaticus,2714992
Asiatic cheetah,2714992
Acipenser baerii,27689
"Acipenser baerii Brandt, 1869",27689
Acipenser baeri,27689
Siberian sturgeon,27689
"Acipenser baerii baerii Brandt, 1869",101767
Acipenser baerii baerii,101767
Acipenser brevirostrum,7907
"Acipenser brevirostrum Lesueur, 1818",7907
shortnose sturgeon,7907
Acipenser gueldenstaedtii,7902
