name,id
Acidianus ambivalens,2283
Acidianus ambivalens (Zillig and Bock 1987) Fuchs et al. 1996,2283
CIP 104912,2283
Desulfurolobus ambivalens,2283
Desulfurolobus ambivalens Zillig and Bock 1987,2283
DSM 3772,2283
JCM 9191,2283
strain Lei 10,2283
Sulfolobus ambivalens,2283
Acidianus brierleyi,41673
Acidianus brierleyi (Zillig et al. 1980) Segerer et al. 1986,41673
DSM 1651,41673
IFO 15269,41673
JCM 8954,41673
NBRC 15269,41673
Sulfolobus brierleyi,41673
Sulfolobus brierleyi Zillig et al. 1980,41673
Acidianus infernus,12915
Acidianus infernus Segerer et al. 1986,12915
DSM 3191,12915
IFO 15270,12915
JCM 8955,12915
NBRC 15270,12915
strain So4a,12915
Acidianus tengchongenses,146920
Acidianus sp. S5,146920
"""Acidianus tengchongenses"" He et al. 2001",146920
"""Acidianus tengchongensis"" He et al. 2004",146920
Acidianus tengchongensis,146920
strain S5,146920
"""Sulfosphaerellus thermoacidophilum"" in He et al. 2001",146920
Sulfosphaerellus thermoacidophilum,146920
Aeropyrum pernix,56636
Aeropyrum pernix Sako et al. 1996,56636
ATCC 700893,56636
DSM 11879,56636
JCM 9820,56636
NBRC 100138,56636
strain K1,56636
Aeropyrum pernix K1,272557
Aeropyrum pernix strain K1,272557
Aeropyrum pernix str. K1,272557
Archaeoglobus fulgidus,2234
Archaeoglobus fulgidus Stetter 1988,2234
ATCC 49558,2234
DSM 4304,2234
JCM 9628,2234
NBRC 100126,2234
strain VC-16,2234
Archaeoglobus fulgidus DSM 8774,1344584
Archaeoglobus fulgidus DSM 4304,224325
Archaeoglobus fulgidus strain DSM 4304,224325
Archaeoglobus fulgidus str. DSM 4304,224325
Archaeoglobus fulgidus VC-16,224325
Archaeoglobus profundus,84156
Archaeoglobus profundus Burggraf et al. 1990,84156
DSM 5631,84156
JCM 9629,84156
NBRC 100127,84156
strain AV18,84156
Archaeoglobus profundus DSM 5631,572546
Archaeoglobus profundus strain DSM 5631,572546
Archaeoglobus profundus str. DSM 5631,572546
Caldococcus noboribetus,57174
"""Caldococcus noboribetus"" Aoshima et al. 1996",57174
hyperthermophilic archaebacterium NC12,57174
Candidatus Methanoregula boonei 6A8,456442
methanogenic archaeon 6A8,456442
Methanoregula boonei 6A8,456442
Methanoregula boonei str. 6A8,456442
Methanoregula boonei strain 6A8,456442
Cenarchaeum symbiosum,46770
Candidatus Cenarchaeum symbiosum,46770
"""Cenarchaeum symbiosum"" DeLong and Preston 1996",46770
Cenarchaeum symbiosum B,414005
Desulfurococcus amylolyticus,94694
culture-collection:VKM:B:2413 [[Desulfurococcus kamchatkensis]],94694
culture-collection:VKM:V:2316 [[Desulfurococcus fermentans]],94694
Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001 emend. Perevalova et al. 2016,94694
Desulfurococcus fermentans Perevalova et al. 2005,94694
Desulfurococcus fermentans,94694
Desulfurococcus kamchatkensis Kublanov et al. 2009,94694
Desulfurococcus kamchatkensis,94694
DSM 16532 [[Desulfurococcus fermentans]],94694
DSM 18924 [[Desulfurococcus kamchatkensis]],94694
DSM 3822,94694
JCM 13383 [[Desulfurococcus fermentans]],94694
JCM 16383 [[Desulfurococcus kamchatkensis]],94694
JCM 9188,94694
strain 1221n [[Desulfurococcus kamchatkensis]],94694
strain Z-1312 [[Desulfurococcus fermentans]],94694
strain Z-533,94694
VKM B-2413 [[Desulfurococcus kamchatkensis]],94694
VKM V-2316 [[Desulfurococcus fermentans]],94694
Desulfurococcus amylolyticus JCM 9188,1150674
Desulfurococcus amylolyticus strain Z-533,1150674
Desulfurococcus amylolyticus str. Z-533,1150674
Desulfurococcus amylolyticus Z-533,1150674
Desulfurococcus mucosus,2275
